,Unnamed: 0,Name,City,MinSalary,MaxSalary,Company,Date,Expirience,Employment,WorkSchedule,Descriptions,Duties,Requiremenst,Terms,KeySkills,Day_from_pars
0,0,IT Директор,Москва,150000.0,,Имаева Александра,2020-11-03T08:49:10+0300,От 3 до 6 лет,Полная занятость,Полный день, Для своего клиента - ищу  IT-директора.  ,,,, Управление проектами; CRM; ERP; IT-стратегия; IT-инфраструктура;,2
1,1,IT-рекрутер,Москва,70000.0,200000.0,ТУРБОТЕХ,2020-11-04T14:31:27+0300,Нет опыта,Полная занятость,Удаленная работа," Мы - рекрутинговая компания, ищем лучший IT-персонал. ","   Закрытие IT-вакансий, в основном - разработчики, тестировщики, аналитики   Использование различных технологий поиска кандидатов   Выстраивание эффективных коммуникаций с нанимающей стороной   ",,, Подбор персонала; Работа в команде; Клиентоориентированность; Деловая коммуникация; Прямой поиск;,2
2,2,Sales manager,Москва,100000.0,190000.0,Sibedge,2020-11-05T10:01:12+0300,От 1 года до 3 лет,Полная занятость,Полный день," Бро, ",,,, Sales Skills; Sales development;,2
3,3,IT-рекрутер,Санкт-Петербург,70000.0,100333.0,КИМТ,2020-11-04T12:47:09+0300,От 1 года до 3 лет,Полная занятость,Гибкий график," Мы ищем себе в команду IT рекрутера с бэкграундом в подборе персонала. Если ты проявляешь интерес к IT сфере, хочешь решать уникальные кейсы и работать в компании твоей мечты - будем рады видеть тебя в нашей команде. ",,,, Подбор персонала; Adobe Photoshop; Обучение и развитие; Грамотная речь; Поиск информации в интернет; Информационные технологии; Рекрутмент;,2
4,4,IT-рекрутер,Москва,100000.0,150781.0,Business Craft Consult,2020-11-05T09:49:39+0300,Нет опыта,Полная занятость,Удаленная работа,  Область ответственности:  ,,"   Понимание предметной области и специфики IT;   Успешный опыт закрытия сложных IT-вакансий;     Навыки поиска в GitHub, stackoverflow, LinkedIn, facebook, habr, telegram;       Многозадачность, самоорганизованность.     ",   Договор с ИП.   Перспектива долгосрочного сотрудничества на крупных проектах.   , рекрутинг; Формирование планов по подбору персонала; Boolean search; X-ray; Поиск программистов; Подбор IT персонала; Мотивация персонала;,2
5,5,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,Дэв-Юнит,2020-11-03T14:13:27+0300,От 1 года до 3 лет,Полная занятость,Полный день," Здесь, в  DevUnit, наша команда  разрабатывает инновационную финтех платформу. ",,,, Английский язык; Деловая коммуникация; Подбор персонала;,2
6,6,IT-рекрутер,Санкт-Петербург,52691.0,100333.0,Айтива,2020-11-05T16:05:02+0300,Нет опыта,Полная занятость,Полный день," Привет! Мы ITIVA - рекрутинговое агентство в IT.  Мы подбираем разработчиков для IT компаний в России и Европе.  Сейчас мы расширяем команду и ищем себе сорсера и рекрутера. Готовы рассмотреть кандидатов и без опыта работы. Если ты проявляешь интерес к IT сфере, хочешь решать уникальные кейсы и помогать людям - будем рады видеть тебя в нашей команде.   Тебе предстоит:  ",,,, Английский язык; Грамотная речь; Поиск информации в интернет; Телефонное интервью; Грамотность; Работа в команде; Аналитическое мышление; Подбор персонала; Работа с большим объемом информации;,2
7,7,IT Специалист,Москва,70000.0,100000.0,Фаворит Парфюм,2020-11-03T11:30:03+0300,От 1 года до 3 лет,Полная занятость,Полный день,"  Компания EYFEL  - это огромная успешная парфюмерная империя. Компания была создана в 2008 году, сегодня это международная сеть парфюмерных салонов по всему миру. ",   , • Экспертное владение 1С • Уверенный пользователь Excel • Опыт работы системами маркировки • Высшее техническое образование • Аналитический склад ума , • Международная стабильная компания • Оклад + KPI • Молодой дружный коллектив и адекватное руководство • Корпоративное обучение • Комфортный офис • Быстрый карьерный рост , 1С: Склад; Windows Os; 1С: Предприятие 8; 1С: Торговля и склад; 1С: Документооборот; Пользователь ПК; MS Excel; честный знак;,2
8,8,IT-рекрутер,Москва,50000.0,150000.0,evrone.ru,2020-11-04T22:10:52+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,  Evrone  растет и ищет IT рекрутера.   Расскажем немного о нас.  ,,,, Рекрутмент; Английский язык; Сорсинг;,2
9,9,Project manager,Санкт-Петербург,170000.0,103311.0,Софтвайс,2020-11-04T15:47:05+0300,От 3 до 6 лет,Полная занятость,Полный день," Мы -  «Софтвайс» , и мы   занимается разработкой ПО в области рекламы и мобильных игр. ",,,, Agile Project Management; Тайм-менеджмент; Бизнес-анализ; Английский язык;,2
10,10,IT Инженер,Санкт-Петербург,70000.0,132000.0,АИС,2020-11-03T18:33:59+0300,От 3 до 6 лет,Полная занятость,Полный день, ,"   Поддержка и развитие существующей ИТ инфраструктуры 2 офисов.   Администрирование платформ виртуализации VMware vSphere, Hyper-V.   Администрирование сервисов на платформе MS Windows Server: AD DS, CS, DNS, DHCP, WSUS.   Администрирование MS Azure.   Администрирование серверов приложений на базе linux.   Администрирование и настройка активного сетевого оборудования Cisco.   Администрирование фермы Sharepoint.   Администрирование корпоративной АТС Asterisk.   Реализация концепции информационной безопасности предприятия.   Актуализация имеющийся документации.   Подбор активного (IT) оборудования: сетевого, серверного и пользовательских рабочих станций.   Техническая поддержка пользователей.   Командировки, связанные с настройкой сетевого и серверного оборудования   ","   Высшее техническое образование.   Опыт в настройке и администрировании Windows-систем (Windows Server 2016 и выше): Active Directory, DHCP, DNS, GPO, SCCM, WSUS.   Опыт в настройке и администрировании сетевого оборудования Сisco: ISR, Catalyst, ASA, MobilityExpress.   Опыт в настройке и администрировании MS Azure, Google for business.   Опыт в администрировании Asterisk PBX   Опыт в настройке и администрировании NAS (QNAP, Synology)   Понимание принципов работы систем виртуализации VMware и/или Hyper-V.   Опыт в администрировании Linux-систем (Debian, Centos)   Опыт в настройке систем мониторинга (Nagios/zabbix/cacti).   Понимание принципов построения систем видеонаблюдения и СКУД   Стрессоустойчивость   Технический английский язык   ","   Оформление в соответствии с ТК РФ, «белая» зарплата;   График работы 5/2 с 9:00 до 18:00 (интервал раб.времени меняется по договоренности);   Офис рядом с м.Бухарестская;   Возможность карьерного роста и повышения квалификации;   Дружный молодой коллектив.   ",,2
11,11,Project manager,Москва,130000.0,124346.0,Стронг Билдингс,2020-11-05T14:43:20+0300,От 1 года до 3 лет,Полная занятость,Удаленная работа,"  Мы помогаем предпринимателям расширять их бизнес, проектируя, производя и поставляя для них новые промышленные здания по России и в Мире.  ",,"   Опыт выполнения аналогичных обязанностей от 1 года;   Успешный опыт внедрения 1С ERP;   Опыт интеграции интернет-магазина;   Опыт работы в тревел бизнесе и знание специфического ПО - будет большим плюсом;   Бэкграунд разработчика (C++, React, PHP, MSSQL, MYSQL) или 1С - будет плюсом;   ","   Оформление по ТК РФ;   График 5/2, комфортное рабочее место   Амбициозные и интересные задачи;   Прозрачная система мотивации.   Слышащее руководство.    Компенсация профессионального обучения 50%    Возможна удаленная работа   Оплачиваемые командировки   Компенсация сотовой связи   ", Управление проектами; Веб-программирование; phpMyAdmin; Информационные технологии; Разработка технических заданий; 1С: Управление предприятием; HTML; Оптимизация бизнес-процессов;,2
12,12,Product manager,Москва,82642.0,136666.0,Марктек,2020-11-03T17:55:14+0300,От 1 года до 3 лет,Полная занятость,Полный день,  Мы в поиске двух Продакт менеджеров для проектов: краудфандинговая платформа и маркетплейс.  ,,"   Опыт запуска продукта с нуля и вывода на нужные показатели;   Опыт работы над интернет-продуктами, в идеале — c фокусом на монетизацию;     Знание методологии менеджера продуктов и успешное применение на практике;       Аналитический склад ума.     ","     Интересные и амбициозные задачи, международная команда;       Конкурентный уровень дохода;       ДМС со стоматологией;       Частичная компенсация аренды жилья;       Офис в центре Москвы.     ", Product Management; Управление продуктом; Запуск новых продуктов;,2
